text	label
따로 설치한 것도 없고 같이 동봉되어 있었던 한컴오피스만 설치했습니다. 하도 답답해서 짜증만 나고 노트북 사놓고 피시방이나 계속 가게 생겼네요.	neg
배송이 느린거는 바이러스 때문에 이해하겠는데 제품 자체가 진짜 별루네요.	neg
우선 핸드폰에 끼웠을때는 소리조절 안되고 노트북에 사용할때는 어쩔때 한쪽만 들리고 어쩔때는 두쪽 다 들리고 또 어떤경우에는 상대방이 안들리다네요.	neg
제품에 문제 있는것 같아요.	neg
이미 포장된 박스 다 버려서 반품처리도 어려울것 같아 그냥 씁니다.	neg
촉촉해지고 부드러워요	pos
거의 아무 향이안나서 향에 민감하신분들이 쓰기좋을거같아요	pos
3통째 구매해요. 다른 제품으로 갈아타려다 결국 다시 돌아왔어요.	pos
CS 대응이 아쉽습니다. 서울 전역 퀵서비스 배달은 현재 안 해줍니다.	neg
상품 상세에 쓰여있지만 현재 협력업체가 휴가 중이란 이유로 퀵 서비스를 제공해 줄 수 없다는 말뿐입니다. 협력업체 아닌 다른 업체를 통해 보내주겠다던가, 사과와 함께 저렴하게 착불 퀵을 제공하겠다던가 하는 이야기도 하지 않습니다. (그럼 상세에서 당분간 빼시는 게 맞는다고 봅니다) 퀵은 상당한 메리트입니다. 상품을 빠르고, 고가니만큼 안전하게 받기를 바랐는데 아쉽게 되었네요	neg
뜯은 흔적있음. 귀 고무? 하나만 노란색 딱봐도 사용한 것 같은 것을 보내줌;;; 품질이고 나발이고  제정신으로 보내는 건가??	neg
작동거리도 길고, 직관적인 버튼 과 유에스비가 본체에 보관 가능하기에 분실위험성도 낮습니다.	pos
클릭감이 좀 쎈거같긴한데 그거말곤 양호하네요	pos
블루투스기능도 정말 편리합니당♡	pos
어쨌든 비싸지만 그만한 기능하는 마우스 같습니다.	pos
만족도 5점을 주셨네요. 어떤 점이 좋았나요?	pos
오 이거 괜츈! 	pos
색상조절가능한 부분도 마음에 들고 감도조절기능도 너무 편하네요	pos
제가 사용하던 마우스보단 높이가 조금낮은듯한데 그립감은 좋은거 같네요	pos
너무 건조해서 힘드네요	neg
성분이 좋다해서 꾸준히 써보려규요ㅎㅎ	pos
전 분명 튜브타입 사은품 아니 솔직히 좀 황당하네요	neg
전 분명 튜브타입 사은품 10개 주는 걸로 봤는데 마음대로 다시 랜덤 배송으로 이미지 바꿔뒀네요??튜브랑 파우치형 샘플이 용량 차이가 얼만데 파우치를 20장 정도 주던가 해야지 개수는 똑같이 주고 용량은 작은 게 뭐 하자는 건가요? 별 하나도 주기 싫음.	neg
차라리 처음부터 몰랐던 거면 모르겠지만 본인들 마음대로 랜덤 배송이라고 바꿔두면 단 가요? 이미지 바뀌기 전 주문한 고객들은 튜브형 샘플로 보내주고 이미지 바뀐 뒤 주문한 고객들은 랜덤으로 주던가 하셔야죠...	neg
손이 편하고 감도도 좋아 잘 사용 중입니다.	pos
이어폰 2개+줄감개+파우치  이렇게 주문했는데이어폰 1개+파우치만 배달되는 경험을 하실수 있습니다.살면서 처음 겪어보게 되네요. 문의는 넣었지만 사과는 한마디도 받아볼수 없었고 태연히 '상품 누락 되신거세요?' 라는 말과 태연하게 다시 배송 드린다는 말만 들을 수 있었습니다.그래서 이어폰 받는데 까지 총 5일 넘게 걸리겠네요.	neg
용량도 커서 오래 쓸 수 있고 듬뿍듬뿍 발라용ㅎㅎ	pos
쵹춀한 대용량!!!	pos
원래 쓰다가 순하고 자극없어서 대용량 시킵니다	pos
순하고 정말 쫀득하니 좋아요	pos
토너랑 폼클렌징이 마침 떨어져서 알아보던중에 괜찮아보여서 샀는데 수분크림도 같이 주시고 잘쓰겠습니다!!	pos
보습때문에삿는데 잘모르겠네요	neg
그런데 시간 지나고 나니까 black screen기능이 안 먹혀서 조금 아쉽습니다.	pos
절대 사지 마요 자기 맘대로 마우스 돌아다니고 난리 아닙니다	neg
몇 개째 쓰는 무난 템입니다 자극적이지 않고 향도 없고 보습력도 이 정도면 무난해서 잘 쓰고 있어요 ㅎㅎ	pos
선물로 했는데 좋아해요	pos
음질이 너무 별로고 삐소리가 많이나요	neg
도대체 어디에 쓰시기에 쟁여놓고 싶다는.. 완전 건성도 아니지만.. 잘 때 바르려고 여기저기 알아보고 산 건데.. 5천 원짜리보다 효과 없음.. 사기당했음	neg
좋아요 잘 쓰고 있어요 ㅎㅎ	pos
 우선 무게가 생각보다 가벼웠습니다.	pos
아니 이거왜그런가요?충전했더니 녹아서 지금 충전기랑 선풍기 분리가 안됩니다폭팔이라도 했으면 큰일 날뻔했네요;;;연락주세요	neg
필러운동화 260mm를 265mm로교환신청했는데 25일 지나서배달된 운동화는 245mm가 왔음직원도 너무 불친절하고다시는 이용하기 싫은 마켓임	neg
음질이나 줄은 문제가 없는데 귀와 접촉하는 고무부분 진짜 심각할 정도로 잘 떨어집니다 다른 고무쓰는 이어폰도 이런현상있는데 유독 이건진짜 심각할 정도입니다;	neg
불량으로 교환 받았어요 정품은 아닌거같네요그전에 쓰던거라 다르네요가격이 착하니 만족합니다	neg
각질도 제거 되는 느낌 다음엔 큰용량 살려구요	pos
용량에 한번 놀라고 화장솜에 바르고서 놀랐네요~	pos
구매했는데.. 충전기 불량인데... 한 번이라도 사용했다고 반품이 안된다고 해서... 인내하며 as 했는데...	neg
한 달이 넘도록 말도 안되는 서비스직원이 헛소리와 말도 안 되는 소리로 아직도 충전기 못 받음.....	neg
2번째 구매인데.. 졸라 후회 중... 서비스 개판임  말이 안 통함...	neg
소비자보호센터 신고 진행할 거임 첫 번째 꺼 사용 후기는 소음 졸라있음 힘 좀 주면 기계 멈춤 타제품도 그런 줄 알았는데... 아니었음	neg
역시 로지텍 마우스답게 편하네요 다음번에 또 이용할게요~!	pos
밤에 클릭 소리가 시끄러웠는데 이제 신경 안 써도 되겠네요.	pos
그치만 생각보다 좋은것같아서 안심됩니다!	pos
끈쩍한거 싫어하는데이건 그런게 전혀 없어요	pos
가격 대비 별론 거 같습니다 소음이 너무 심해요	neg
워낙 피부최악이라 이렇게라도하니 각질제거나 수분감이 좀 느껴지네요.	pos
남편 무릎이 안 좋아서 주문하게 되었는데 사실 저는 압력 부분이 제일 높은 3단계로 했는데도 별로 시원하질 않네요..	neg
남편 무릎에는 딱 맞아서 그런지 아프다고 하는데 저는 별로 잘 모르겠고요ㅠ	neg
온열 기능은 3단계로 하면 너무 뜨거워서 1단계로 하고 사용하는데... 사실 전반적으로 가격 대비 별로 모르겠어요..	neg
판매자에게는 죄송한 글이지만 이 제품을 과연 10만 원 넘게 주고 사서 사용해야 될 가치가 있나 생각이 듭니다. 실 사용자 남편 또한 별로라고 하네요..	neg
너무 뻑뻑하고 흡수도 안되고... 이게 뭔가요.. ㅜㅜ	neg
조아영 물 같은데 그래서 되게 듬뿍듬뿍 쓰게 돼요 ㅋㅋㅋㅋ 시루콧토에 듬뿍 묻혀서 쓷쓱쓱 ㅎㅎㅎ	pos
셀라비 크림 좋아요~	pos
코드 제로인 줄	neg
생각보다 많이 높이가 낮아요! 근데 적응하면 괜찮아요!	pos
전에 쓰던 마우스보다 클릭반응속도도 빠르고 안정감이 뛰어나네요	pos
일단 흡수력은 좋은거같아요 ㅎ	pos
ㅇ좋다 해서 샀어요~~	pos
매우 좋아요 생각보다 빨라요	pos
여기 가장 저렴했고, 용량 엄청 크네여 좋습니당 오래쓸듯!	pos
피부의 달라짐은 모르겠고 향이랑 발림이 매우 좋아요	pos
좋아좋아요 엄마 생신 선물로 사드렸는데 좋아하시네요~~ㅎㅎ 저도 집내려 가면 사봐야겠아요~~추천드립니다~~	pos
만족해요 급 힘 좋은 아내가 무선 마우스를 고장 내버렸기에..^^ 산 무소 움 무선 마우스였는데요 받은 아내의 첫 마디는 쩐다 였습니다. 뭐가 쩌냐니깐 그냥 쩐대요 하.. 일단 그립감 좋을 것 같고 손도 편안하니 무소음이고 나중에 저도 하나 사서 써봐야겠네요^^	pos
며칠 사용해 본 결과, 비추천입니다. 클릭 감도가 일반적인 마우스보다 뻑뻑합니다. 그리고 불량 제품이 배송되었는지, 마우스 클릭 시 간혹 플라스틱이 서로 부딪히는 소리 납니다.	neg
불편함  귀에서 잘바지는점	neg
향은 진한데 스킨자체는 순한것같아요~~	pos
떨어지기 전에 미리 주문해 놓는 제품입니다. 자극 없고 촉촉해서 좋아요	pos
입금 한 만큼 좀 빨리빨리 해주시지...ㅎㅎ마우스에 지문도 묻어있고 선도 꼬여있고 기분 나쁘네요~ 여기 말고 다른 데서 구입하세요	neg
정말 실망입니다 벌써 몇 통째 사서 쓰고 있었는데 이번에 배송 상태 보고 정이 뚝 떨어졌네요.	neg
이럴 거면 아예 솜을 보내지 마시던가요 누가 반품 보낸 거 다시 보내신 건지 택배 상자 열자마자 벌레가 기어 나왔고, 스킨 상자는 열린 채로 왔습니다.	neg
벌레 때문에 스킨도 쓰기 찝찝했는데 비닐이라도 싸여있어서 그냥 쓰기로 했습니다	neg
근데 같이 보낸 증정용 솜에서 벌레가 또 계속 나오고 솜도 반절이나 없었어요	neg
그나마 있는 솜들도 이상한 검은색 반점이 있어서 바로 다 버렸습니다.	neg
처음에 벌레 나왔을 때는 날씨가 습해서 택배 상자에 벌레가 생겼나 하고 좋게 생각하려고 했는데 스킨과 화장솜 상태 보니까 도저히 좋게 이해가 안 되더라고요	neg
다시는 재구매 안 할 겁니다. 정말 실망입니다.	neg
화장솜에 적셔서 살살 닦으면 피부가 매끈해지고 촉촉해져요	pos
고급스러운 박스에 본체하고 케이블하고 2개만 있길래 놀랬습니다. 마감도 좋고 깔끔하니 좋네요. 잘 쓰겠습니다. 감사합니다.	pos
촉촉하고3토너~7토너하니 수분보습 너무조아요	pos
앞코가 납작 둥그래서 혹시나.설마 했는데~~낭패입니다.발가락이 부딪치가 아퍼요ㅠㅠ.	neg
신고나와버려 반품도 못하고 ㅠㅠ.또 예기치 않은 바닥 상태!!!홈만 많다뿐 기본 소재는 미끄러운 재질이였군요ㅠ	neg
저 안미끄럽겠지하고 선택한건데ㅠㅠㅠ.밖에 매장서 신어보고 살껄~~후회 막급입니다	neg
마우스는 역시 로지텍은 아닌듯...	neg
마우스 고장나서 하나 구매했는데 가격도 싼편이고 기능도 괜찮네요.	pos
플로우기능 고속 스크롤기능, 그립감 좋습니다.	pos
소음도 적고 디자인도 맘에 들어요 잘 산 것 같아 좋네요	pos
교환신청합니다...	neg
8월16일받았서 지난 주말에 저희어머니 선물로드렸는데.오늘 사용중에 발열이 나면서 플라스틱 타는 냄새가 나면서   전원 스위치 빨간불이 꺼지지도 않고 스위치 부분이 아주뜨겁네요..	neg
엄청 위험하게 느껴지네요.저희어머니 사용하실것라 빠른시간 안에 검수꼼꼼히 해서맞교환 할수있게 보내주세요.사진 첨부했네요.	neg
무향이라 좋네요	pos
틸트 휠 기능이 있는 줄 알고 구매했는데 없네요	neg
로지텍 G602 쓰다가 G602가 단종 돼서 비슷한 제품이 다크 코어 길래 구입해서 10일 정도 써보고 있는데, 중간중간 마우스가 튀기도 하고 그립감 최악입니다.	neg
마우스 등 부분에 고무? 같은 소재가 안 미끄러워지게 잡아주는지 알았는데 황당하게도 이 고무가 미끄러워서 손에 힘이 많이 들어가고 손목 통증까지 옵니다.	neg
제가 지금껏 사용해본 마우스 중에 최악입니다.. 이거 쓸 바엔 로지텍 703이나 603 쓰시길 바랍니다.	neg
저는 납작한 디자인보다 이런 게 손목이 편하더라고요ㅎㅎ	pos
저는 워터 제형인지 알았는데 생각보다 점성이 강해서 좀 별로였어요! 같이 산 에멀션과 크림은 잘 쓰고 있어요!	neg
민감성 피부에 건조함이 심한 피분데 피부에 자극적 샘플도 많이 보내주시고 배송도 빨리 왔네요 민감성 피부에 건조함이 심한 피분데 피부에 자극적이지도 않고 향도 은은한 향이어서 좋네요 ^^	pos
자연스럽게 통업이 되고 촉촉해요 ㅎㅎㅎ	pos
착한 성분으로되었다고해서구입했어요	pos
그냥 그래요..  그저 그럭저럭	neg
양도 넉넉해서 계속 사용할꺼 같아요	pos
별 한개도 아까워요. 9/6일날 주문했는데 배송만 걸어놓고 23일인 지금까지 배송 시작도 안 했네요~	neg
배송 상태 보면 제가 만들어서 신는게 더 빠를수도 있겠네요~ 문의글 보니까 환불도 잘 안되는거 같은데 배송이 안될것같으면 환불 이라도 빠르게 처리하세요	neg
중국산 싸구려품질이네요 충전하는데 불날것처럼 심하게뜨거워지고 소음도ㅜ엄청크고 재고쌓여서 2개씩묶어 파는게 이해가되네요	neg
1+1이 아니라 만원짜리를 강제로2개사게 만드는수법인데 제일약하게 틀어도 발전기돌리는 소리나고 진동도 심하고 진짜 거슬리네요	neg
중국산몇천원짜리를 몇만원이나 주고산게 너무 돈아까워요.	neg
명불허전입니다 강추요	pos
이거 먼가요&gt;?? 은색 분리배출 박혀있는 스티커에  ab7(2007/11)이라고 돼있는데  제조일이 2007년 11월 이란 게 맞죠??  얼굴에 자꾸 머가 나서 샀더니만...	neg
저렴한 가격에 무난한 디자인의 제품입니다. 저렴하지만 클리 미감이나 그립감도 좋고요. 케이블에 필터까지 달려있네요.	pos
다만 제 것만 그런 걸지도 모르나 사용 중에 약간씩 고주파 음이 들리네요. 그 외엔 내구성도 좋고 만족해요.	pos
빠른 배송 감사합니다 아	neg
상품평이 좋아 구매했는데 대학생 아들이 5일째 사용하는데 오늘 전원을 켜니 화면이 깨진다고 하네요. A/S 신청 예정입니다.	neg
레드색상도 예쁘네용 ㅋㅋ 좋네요!	pos
휠을 내리고올릴때 조금 아주 조금 느리게내려가고 올라가는거 같지만 전체적으로 감도도좋고 색깔변하는것도 너무이쁘고 아주좋아용!! 알바아님	pos
솔찍히 가격대비 가장 좋은 마우스이고크기 무게 가장 한국인에게 적합하다고 생각합니다	pos
제품을 사용한 지 2주 됐는데요 일주일 됐을 때 뚜껑에서 안에 있는 하얀색 부분과 겉뚜껑이 완전히 분리되고 불편한데 그냥 썼는데 이제는 분리되었던 ㄱ겉 뚜껑에서 동그란 테 드리가 또 분리돼서 떨어져 나가더라고요..	neg
제품이라도 좋으면 이런 글  안 쓰는데.. 리엔케이 쓰다가 바꿨는데.. 그다지 좋지가 않네요 주위에서도 그전보다 피부 톤이 밝지 않다고 하고...	neg
제품 용기도 그렇게 허접하게 만들었는지 뚜껑 열 때마다 짜증 나서요 제가 이런 글 정말 안 쓰는데.. 2주 써보니 다른 거보다 비싼데.. 별로였어요	neg
캡부분이 약해서 한달쓰고 두달째에 캡부분떨어져나감 음질은 좋은듯	neg
국산인줄알았는데 뒤에보니 제조가 중국이네여 ㅠㅠ	neg
요즘나오는 게이밍 마우스는 휠가운데 버튼이 DPI 버튼이어서 일할때 사용이 불가능하여 이제품으로 주문한게 탁월한 선택이었네요	pos
lg꺼 좀큰거  샀다가 불편해서 요걸로 다시 주문했는데 사이즈가 좀 작은 느낌이었는데 바로 적응되네요	pos
토너는 뭐니뭐니해도 대용량 제품이 최고!	pos
이전에는 마우스를 로지텍 지원을 썼었는데 스틸시리즈95가 지원이랑 크기랑 무게가 비슷해서 익숙해지기 편했습니다.	pos
노트북 처음 구매하는데 좋네요 ..잘 쓰겠습니다	pos
좋아요 꼼꼼하게 샘플도 챙겨주시고 쇼핑백도 챙겨주시고ㅎㅎ배송도 빨랐어요	pos
여두름더났어요.ㅜㅜㅜ	neg
무소음 크림감도 좋습니 다크~	pos
냄새도 나쁘지 않구요	pos
프리드 스라고 상품명 옆에 좀 써놔주세요. 중간에 써놓으니 못 보고 주문해서 윈도 다시 설치해야 되고 좀 최악이네요.	neg
스킨토너 대용으로 쓰고 있는데 가격도 싸고 용량도 많아 듬뿍 화장솜에 묻혀서 잘 사용하고 있어요	neg
민감성에 좁쌀피부인데 촉촉하고 좁쌀이싹들어갔어요!!!	pos
10월 25일 구입 11월 중 광에 문제 있다가 말일에 광이 맛이 나가 a/s 신청 신청 중 이해 안 가는 부분 문의 넣었고  다음날 9시에 답변 a/s 신청 후 신청 넣었다는 답글 달았고 다음날 답변 택배가 받으러 갑니다라는 답변 왔고 후 일 a/s 신청 보니 구입 확인이 안된다고 다시 신청 해달라는 달림 분명 구입 확인하는 방법에 문의했고 하라는 대로 사진 찍어 올렸는데 다시 확인하라고 바로 오는 것이 아닌 다음날에 답변 달고 이에 대해 오후에 답변 달았으나 여기는 아침 9시 아니면 홈페이지를 확인 안 하는 듯 답변이 하루 이상 걸림 이렇게 일주일 지났고 아직 받으러 안 옴 다음 월요일 되면 또 뭔 이상한 소리로 하루 잡아먹을 거임 기기 이상하면 부수고 다른 곳에서 사는 것이 훨씬 빠릅니다	neg
아니 물품 확인은 하고 배송하는겁니까? 몇개나 시켰다고 2개가 오배송왔네요	neg
하나는 박스 이미지로 확인해서 교환했는데 선풍기는 다음날 박스까보니 분홍색이네 제대로 좀 배송하세요 교환도 배송먼저해주고 맞교환을해주던지 일단 기사부터보내고있고 그럼 전 그냥 이삼일 기다려야됩니까?	neg
선풍기 당장 갖다버리고싶네요	neg
신발사이즈가 잘못온건가요? 분명 박스에는 225라고 써있는데 ..실제 신발사이즈는왠만한 성인남자 발에 딱맞는 사이즈던데요..???그건 신발이 잘못온거겠죠 ?	neg
굉장히 좋습니다. 한번 새 엠플 받아서 써본 후에 점점 맘에 들어서 인터넷으로 구매합니다. 배송도 빠르고 앞으로 계속 구매예정입니다. 감사합니다.	pos
성분도 기능도 심지어 가격까지 착하고 독도를 생각하는 의미도 담긴 독도스킨!! 입소문듣고 사봤는데 참 좋은 제품인것 같아요~	pos
자꾸빠짐퀄러티없어보임169백원 돈아까움작고바람도별루안시원함사지마세요들	neg
한통을 다 써본 결과 확실히 순해요~	pos
순해서 예민한 피부에도 자극이 없네요~^^	pos
저자극입니다.	pos
작동이 잘 안되네요	neg
마우스도 손에 착 맞아떨어지고 그립감이 남달라요.	pos
오래 두고 쓰려고 5개를 구매하였습니다.수령하자마자 뜯어서 Test 해본 결과, 사진에서 보실 수 있듯이 상태가 굉장히 안좋습니다.	neg
왼쪽은 정상이나 오른쪽이 소리가 아예 안나오는 상품: 1개- 왼쪽은 정상이나 오른쪽이 왼쪽 대비 음량이 50% 수준으로 들리는 상품: 2개- 양쪽 정상인 상품: 2개제가 위에 말한 '정상'이라는 기준의 음질은 전반적으로 음질은 약 10~15년 전 비행기 안에서 나눠주던 1회용 이어폰 음질 수준입니다.	neg
개당 4,000원도 안되는 이어폰에 좋은 음질을 기대하는 것이 무리이긴 하므로 기대에 영 미치지 못하는 음질 부분은 이해하고 넘어가더라도, 최소한 그 가격에 정상 작동을 하는 상품을 기대하는게 무리인가요?* Test 결과 사진을 Upload 하고싶어도 에러로 사진 Upload가 안되네요.	neg
이 가격에 삼성 제품을 쓸 수 있다는 것만으로도 충격인데, 실제 개봉하고 OS 설치하고 3일째 사용 중인데 엄청 만족.	pos
게임을 제외한 모든 기능( 웹서핑, 동영상. 메일 작업, 문서작업. 파일 관리 등)만 사용하는 사람들에게는 최고의 선물이다	pos
감사합니다 잘 쓸게요	pos
진짜 배송  최악이네요  마우스는 그냥 쓸만 한데 배송 그따위로  하지 맙시다	neg
사이즈도크고좋네요	pos
그립감이 정말 좋은 마우스!	pos
저도 리뷰 보고 믿고 샀는데 처음 받아보고 기분 좋아 쓰는 리뷰 믿을 게 못되네요. 절대 여기서 사지 마세요. 돈 더 내고 윈도 깔고 한글 깔았는데 첫날부터 한글이 잘 안되더니 몇 달 쓴 지금 한글 문서가 계속 다운돼서 30분 이상 작업을 할 수가 없어요. 진짜 짜증 납니다. 다시는 여기 이용 안 합니다.	neg
그립감은 일반적인 마우스와 별반 다르지 않아요	pos
제품은 바로나면 촉촉하고 끈적임 없어서 좋네요.	pos
패드 고민히는분 꼭 하나하세여 크기도 적당히 크고 좋아여	pos
입소문에 좋다고 해서 썼는데 피부염을 얻었습니다 피부 예민하신 분들은 피하셔야 할 듯...	neg
좋아요 친구 선물로 구입했어요. 고급스러운 선물포장이 좋네요. 해외여행 다녀온 친구가 사 왔던 장미 크림이 좋아서 장미수도 기대되네요.	pos
좋은데 너무 비싸네요ㅜㅜ	neg
수분 에센스와 그림. 이제 겨울이 다가오느라 수분 부족으로 구입! 배송도 빠르고 샘플이라 하기엔 너무 좋은 정품 세럼들~~잘 쓸게요!	pos
모든 면에서 매우 만족합니다.   이 가격에 이 정도의 노트북을 살수 있다니 행운이네요	pos
BLDC 모터 사용했다고해서 구매 꾹~ 눌렀는데 이거 엄청 시끄럽습니다.. 불량품 아닌가요?교환문의합니다. 그리고, 박스도 열려있었고.. 좀 찜찜 합니다만..	neg
별 한개 주기도 아까움 뭐 음질 그렇다고 쳐도 통화할때 상대랑 이어폰끼고 못함 삼성정품 아니고 짭임 님들 속지마셈 나만 희생양이네.. 이글을 보고 안샀으면 하는맘임 짭이 와서 상대방이 음질 이상하다고 지지직 거린다고 통화 못함	neg
마우스 그립감도 만족 스럽고 ..내구성만 어느정도 받쳐준다면 완벽합니다.	pos
sns에서 좋다는 건 귀가 얇아 사서 쓰는 편... 이것도 나쁘지는 않은 듯... 일단 올라오는 건 없으니.. 다 쓸 때쯤 세일 계속한다면 재구매 의사는 있음	pos
이토너성분이 맘에들어구입했는데 너무잘쓰고있는게 딱두방울이면 얼굴전체도포가능ㅋ 또한 토너가 이렇게촉촉한게잇다는게 감격스러움 이정도성분에 이정도가격이면.. 내친구도 사주곱다	pos
패드라서 사용하기 간편함	pos
사은품인 EBS 수강권이 유효기간이 지난 걸 보내주었네요. 전화해 보니 따로 배송하는 곳에서 보내 자신들은 확인을 못했다고 하고 하고,  다시 보내달라니 이미 다 소진되었다고 하네요. 소진되었으면 사은품 광고를 내리라 하니 제품 소개에 다 공지되어 있으니 아무 문제 없다는 말만... 11번가 고객센터에 전화하겠다고 하니 그러라면서 그걸로 끝...	neg
일단 유해서 성분없어서 좋구요	pos
너무너무 좋아요~~^^잘 쓸게요~~	pos
물건을 받을 때부터 기분이 나빴습니다. 깡통 굴러가는 소리가 달그락달그락... 거리더니, 아니나 다를까 케이스는 뚜껑이 다 열려있었습니다. 진짜 최악의 포장인 듯... 그리고 정품 인증하는 라벨을 마그네틱 뷰어에 붙이면 색상이 변화된다고 하던데,  아무리 시간이 흘러도 그런 건 없었습니다. 이거 정품 맞나요??? 그리고 화장품 본 케이스를 오픈할 때 양쪽에 긴 스티커가 붙여져 있는데, 이건 왜 없나요?? 실로, 정품인지 궁금합니다... 물건을 다시 바꿔주시던지, 아님 환불해 주세요	neg
촉촉하고 좋아요! 물 스킨인데도 약간 미끌하니 촉촉이에요	pos
ㅎ 이거 향 좋아요	pos
독도스킨이 성분도 좋고 가격도 착해서 사용하게 되는거 같아요^^	pos
소음이 거의 없고 마우스 이동시 미끄러지는 느낌도 부드럽고  클릭시에 터치감도 매우 만족스럽습니다.	pos
좋아요~의외로 성능 좋음	pos
금방줄이끊어지네요..	neg
화이트 색상으로 세트 맞추시는 분들에게 추천합니다.	pos
깔끔한 디자인 기능성 구성	pos
오늘 받았습니다.. 뚜껑을 열었는데.. 중간 뚜껑이 찌그러져 있어요.. ㅜㅜ.. 찝찝하네요..	neg
조아 너 무 조아요	pos
향도 너무 좋아서 몇년째 애용중이에요	pos
잘 쓸게요~	pos
얼굴에 발랐더니~제가 피부가 조금 어두운 편인데 피부색이 얼굴만 완전 흰색으로 되어서 외출하기 창피해요^^시간이 지나면 피부 속으로 스며들어서 괜찮을 줄 알았는데~~계속 하얗게 있어서 외출을 못했어요	neg
다를까 충격때문인지 측면 제스처 버튼 안눌려서 일하다	pos
순한 성분에 깔끔하게 발리면서도 촉촉해서 애용하는 제품입니다.	pos
노트북이 엄청 가볍습니다. 여대생이 쓰기에 좋습니다.  초경량 노트북인데 저렴하게 샀고  배송도 빨랐습니다.  딸아이도 무척 만족합니다	pos
컬러가 다양하게 계속 변하는것도 예쁘고.ㅋㅋ	pos
원래 쓰던 제품인데 여기서는 처음 사봅니다ㅜ제품이 다른 것도 아닌데ㅜ너무 다르네요 피부 트러블도 나고요	neg
